Game (459 total),Genre,Year Released,Year Beaten,Platform,Rating,,,
Infamous 2,Open World,2011,2021,PS3,3,,,
Jade Empire,WRPG,2005,2014,XBOX,3,,,
Jamestown,Shmup,2011,,PC,3,,,
Judgment,ARPG,2019,2019,PS4,3,,,
Just Cause 2,Open World,2010,2011,PC,3,,,
Katamari Forever,WTF,2009,2016,PS3,3,,,
Killer is Dead,Action,2013,2014,PS3,3,,,
Kingdom Hearts,ARPG,2002,2014,PS2,3,,,
Kirby Super Star Ultra,2D Platformer,2008,,NDS,3,,,
Kirby's Dream Land 2,2D Platformer,1995,,GB,3,,,
Kirby's Dream Land 3,2D Platformer,1997,,SNES,3,,,
Kirby's Return to Dreamland,2D Platformer,2011,2013,Wii,3,,,
Knife Edge: Nose Gunner,Rail Shooter,1998,2020,N64,3,,,
Kuru Kuru Kururin,WTF,2001,,GBA,3,,,
LA Noire,Open World,2011,2020,PS4,3,,,
Lego Island,Open World,1997,,PC,3,,,
Lego Star Wars,Adventure,2005,,GCN,3,,,
LittleBigPlanet 2,2D Platformer,2011,2011,PS3,3,,,
Luigi's Mansion,Action,2001,,GCN,3,,,
Magical Tetris Challenge,Puzzle,1999,2020,N64,3,,,
Mario Kart 64,Racing,1996,2019,N64,3,,,
Mario Party 5,Party,2003,,GCN,3,,,
Mario Party Advance,Party,2005,,GBA,3,,,
Mega Man Powered Up,2D Platformer,2006,,PSP,3,,,
Metal Gear Solid V: Ground Zeroes,Stealth,2014,2014,PC,3,,,
Metroid Fusion,Metroidvania,2002,,GBA,3,,,
Metroid: Zero Mission,Metroidvania,2004,,GBA,3,,,
Mirror's Edge,3D Platformer,2008,,PC,3,,,
New Super Mario Bros,2D Platformer,2006,,NDS,3,,,
Ninja Five-O,2D Platformer,2003,2020,GBA,3,,,
Ninpen Manmaru,3D Platformer,1997,,SAT,3,,,
Pac-Man Championship Edition DX,Arcade,2010,2015,PC,3,,,
Panic Restaurant,2D Platformer,1992,2013,NES,3,,,
Panzer Dragoon,Rail Shooter,1995,,SAT,3,,,
Persona 4: Dancing All Night!,Rhythm,2015,2016,PSV,3,,,
